id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
254,46 to 55,218.47,4278.24,Self Employed,0,1000,2,NM,0.01815466
255,26 to 35,3.32,3418,Regular Job,0,700,2,NM,0.01829725
256,56 to 65,1487.27,6419.65,Retired / Pension,0,1500,2,NM,0.03676213
257,46 to 55,1070.06,5397.8,Regular Job,0,800,2,NM,0.01133239
258,36 to 45,5.7,1608,Social Security,1,750,2,ID,0.09185323
259,46 to 55,166.84,7733.36,Regular Job,0,1237.12,2,NV,0.01473098
260,66 to 75,172.06,1544,Social Security,0,500,2,NM,0.06643782
261,36 to 45,104.77,4517.32,Regular Job,1,500,1,OK,0.12521805
262,66 to 75,946.52,597,Social Security,0,500,2,NM,0.1718258
263,46 to 55,597.94,5972.48,Regular Job,0,600,2,NM,0.0082043
264,46 to 55,1.35,2400,Regular Job,0,200,2,ID,0.01127083
265,66 to 75,393.88,1180,Social Security,1,500,2,NM,0.10104237
266,56 to 65,52.87,2428.64,Retired / Pension,0,750,1,NM,0.04992506
267,46 to 55,338.97,2719.48,Regular Job,1,1300,2,ID,0.0433502
268,46 to 55,17.43,8719.12,Regular Job,0,500,1,OK,0.01149657
269,36 to 45,439.68,6662.76,Self Employed,1,750,2,NM,0.00874262
270,26 to 35,2.86,1094,Social Security,0,400,2,OK,0.09321755
271,66 to 75,851.83,1501.3,Social Security,0,987.24,2,NM,0.10805302
272,75 and above,50.23,3095.47,Regular Job,0,1000,2,NV,0.06326664
273,56 to 65,80.28,1596.88,Retired / Pension,0,200,1,NM,0.04052277
274,36 to 45,45.1,3266.12,Regular Job,0,750,1,NV,0.02278238
275,46 to 55,46.93,4370,Regular Job,0,1200,1,OK,0.05337757
276,46 to 55,1762.92,4335.28,Regular Job,0,600,2,DE,0.01313641
277,46 to 55,195.83,803,Social Security,0,300,2,NM,0.09181818
278,16 to 25,3.71,1109.52,Regular Job,1,150,2,AL,0.15885248
279,46 to 55,77.23,3279.24,Regular Job,0,350,2,NM,0.01214611
280,56 to 65,140.11,9996,Regular Job,0,200,1,AL,0.0235094
281,46 to 55,125,4151.4,Regular Job,0,750,2,NM,0.01403141
282,36 to 45,471.93,4446.24,Self Employed,0,1000,2,NM,0.03706503
283,75 and above,47116.33,779,Social Security,0,300,2,NM,0.10781772
284,36 to 45,147.76,4112.8,Self Employed,0,970.29,1,ID,0.02193396
285,56 to 65,0.13,2869.6,Regular Job,0,300,2,NM,0.02568302
286,46 to 55,1244.45,835,Social Security,0,450,2,OK,0.11568862
287,75 and above,4.51,1338,Social Security,0,300,1,NV,0.137713
288,66 to 75,3511.94,880,Regular Job,0,200,2,NM,0.07354545
289,26 to 35,193,1624,Regular Job,0,500,1,OK,0.08577586
290,56 to 65,400.07,4621.4,Regular Job,0,675,2,NM,0.01166097
291,36 to 45,18.83,6056.24,Regular Job,0,600,2,NM,0.01156493
292,36 to 45,135.15,7686,Self Employed,1,600,2,NM,0.0056076
293,36 to 45,0.05,4564,Regular Job,0,1000,2,OK,0.04350351
294,56 to 65,1.05,5265.4,Regular Job,0,300,2,NV,0.01608425
295,46 to 55,338.97,2719.48,Regular Job,0,2000,2,ID,0.06487637
296,56 to 65,1512.02,3200,Regular Job,0,1000,2,AL,0.044675
297,26 to 35,20.55,5125.92,Regular Job,0,150,2,MS,0.03511565
298,16 to 25,57.23,1031.08,Regular Job,0,300,2,AL,0.34187454
299,36 to 45,610.59,5147.16,Regular Job,0,150,1,MS,0.03497074
300,16 to 25,31.32,2031.08,Regular Job,0,200,2,ID,0.01286015
301,26 to 35,1.4,3632.2,Regular Job,0,500,2,OK,0.0275976
302,46 to 55,232.62,8160.96,Regular Job,0,1000,2,OK,0.02432925
303,36 to 45,3761.83,4946.12,Regular Job,0,600,1,OK,0.03379821
304,26 to 35,19.82,747,Social Security,0,400,2,NM,0.09842035
305,36 to 45,142.52,2081.32,Regular Job,1,200,2,ID,0.02458055
306,56 to 65,22.02,650,Social Security,1,100,3,AL,0.18076923
307,56 to 65,15.51,794,Social Security,0,300,2,NM,0.10578086
308,26 to 35,109.88,3776.4,Regular Job,0,500,2,NM,0.01608675
309,75 and above,5,1136.88,Retired / Pension,1,400,2,NM,0.08276159
310,66 to 75,1597.82,4352,Regular Job,0,1900,2,NM,0.03226792
311,36 to 45,258.07,4520.28,Regular Job,0,1000,1,ID,0.01941915
312,46 to 55,121.33,4220.72,Regular Job,0,932.06,1,ID,0.02103196
313,46 to 55,218.47,4278.24,Self Employed,1,925,2,NM,0.01916442
314,75 and above,86.84,863.49,Retired / Pension,0,400,2,NM,0.10704235
315,46 to 55,67.52,1357.4,Regular Job,0,200,2,SC,0.16973626
316,66 to 75,165.25,1360,Social Security,1,1000,2,NM,0.12101471
317,26 to 35,9.76,9450,Regular Job,1,300,1,MI,0.03625503
318,46 to 55,121.33,4220.72,Regular Job,0,1000,1,ID,0.05690972
319,66 to 75,3.23,1805.1,Retired / Pension,0,1000,2,NV,0.10268129
320,46 to 55,918.49,7619.01,Regular Job,0,1500,1,NM,0.02798133
321,56 to 65,8.41,2065.95,Regular Job,0,1250,1,OK,0.12129529
322,26 to 35,5.37,2518.32,Regular Job,1,200,2,OK,0.09158884
323,36 to 45,542.06,4687.28,Regular Job,0,1500,2,NM,0.04281801
